correlationOrder,associatedDocument,associatedDocumentDate,type,infraType,name,subscriberId,phoneNumbers,businessUnity,fantasyName,subscriberIdOld,email,workContact.name,phone,hasSlot,mandatoryType,date,workOrderId,id,inventoryId,value,reference,flag,equipment,action,code.code,description.description,fieldActivity,observation,reason,task,issue.issue.type,updateDate,orderItem,product,order.order.task.action,order.order.task.code.code,order.order.task.description,order.order.task.updateDate,statusCode,scenario
"ORD20230315","VTT001","2023-03-15T00:00:00Z","Service","Web","API Gateway","SVTAL001","1234567890","Sales","DreamTech","SVTAL0001","user@example.com","John Doe","9876543210","Yes","Critical","2023-03-15T12:00:00Z","WO2023031501","20230315000001","INV12345","100.00","REF123","Active","Router","Create","201","Created","Installation","Installation of router","Customer request","Setup equipment","System issue","2023-03-15T12:30:00Z","Item001","Broadband Plan","Create","201","Created","2023-03-15T12:45:00Z",201,"Created"
"ORD20230315","VTT002","2023-03-15T00:00:01Z","Service","Web","API Gateway","SVTAL002","1234567891","Sales","DreamTech","SVTAL0002","user2@example.com","Jane Doe","9876543211","No","Optional","2023-03-15T12:00:01Z","WO2023031502","20230315000002","INV12346","200.00","REF124","Inactive","Switch","Update","400","Campo Catalog ID fora do padrÃ£o esperado","Maintenance","Switch replacement","Customer request","Replace equipment","User error","2023-03-15T12:30:01Z","Item002","Mobile Plan","Update","400","Campo Catalog ID fora do padrÃ£o esperado","2023-03-15T12:45:01Z",400,"BadRequest"
"ORD20230315","VTT003","2023-03-15T00:00:02Z","Service","Web","API Gateway","SVTAL003","1234567892","Sales","DreamTech","SVTAL0003","user3@example.com","Jake Doe","9876543212","Yes","Critical","2023-03-15T12:00:02Z","WO2023031503","20230315000003","INV12347","300.00","REF125","Active","Modem","Delete","401","Unauthorized","Disconnection","Modem disconnection","Customer request","Remove equipment","System issue","2023-03-15T12:30:02Z","Item003","TV Plan","Delete","401","Unauthorized","2023-03-15T12:45:02Z",401,"Unauthorized"
"ORD20230315","VTT004","2023-03-15T00:00:03Z","Service","Web","API Gateway","SVTAL004","1234567893","Sales","DreamTech","SVTAL0004","user4@example.com","Jill Doe","9876543213","No","Optional","2023-03-15T12:00:03Z","WO2023031504","20230315000004","INV12348","400.00","REF126","Inactive","Gateway","Read","403","Forbidden - Scope Not Permitted","Audit","Gateway audit","Regulatory requirement","Audit equipment","User error","2023-03-15T12:30:03Z","Item004","Data Plan","Read","403","Forbidden - Scope Not Permitted","2023-03-15T12:45:03Z",403,"Forbidden - Scope Not Permitted"
"ORD20230315","VTT005","2023-03-15T00:00:04Z","Service","Web","API Gateway","SVTAL005","1234567894","Sales","DreamTech","SVTAL0005","user5@example.com","Joe Doe","9876543214","Yes","Critical","2023-03-15T12:00:04Z","WO2023031505","20230315000005","INV12349","500.00","REF127","Active","Server","Create","404","Not Found","Server setup","Setup new server","Expansion plan","Install server","System issue","2023-03-15T12:30:04Z","Item005","Cloud Service","Create","404","Not Found","2023-03-15T12:45:04Z",404,"Not Found"
"ORD20230315","VTT006","2023-03-15T00:00:05Z","Service","Web","API Gateway","SVTAL006","1234567895","Sales","DreamTech","SVTAL0006","user6@example.com","Jack Doe","9876543215","No","Optional","2023-03-15T12:00:05Z","WO2023031506","20230315000006","INV12350","600.00","REF128","Inactive","Antenna","Update","406","Not Acceptable (AssociatedDocument jÃ¡ existente/utilizado)","Realignment","Antenna realignment","Signal issue","Adjust equipment","User error","2023-03-15T12:30:05Z","Item006","Satellite Service","Update","406","Not Acceptable (AssociatedDocument jÃ¡ existente/utilizado)","2023-03-15T12:45:05Z",406,"Not Acceptable"
"ORD20230315","VTT007","2023-03-15T00:00:06Z","Service","Web","API Gateway","SVTAL007","1234567896","Sales","DreamTech","SVTAL0007","user7@example.com","Jen Doe","9876543216","Yes","Critical","2023-03-15T12:00:06Z","WO2023031507","20230315000007","INV12351","700.00","REF129","Active","Firewall","Delete","429","Too Many Requests - Exceeded Quota","Firewall removal","Remove firewall for upgrade","Upgrade requirement","Remove old equipment","System issue","2023-03-15T12:30:06Z","Item007","Security Service","Delete","429","Too Many Requests - Exceeded Quota","2023-03-15T12:45:06Z",429,"Too Many Requests - Exceeded Quota"
"ORD20230315","VTT008","2023-03-15T00:00:07Z","Service","Web","API Gateway","SVTAL008","1234567897","Sales","DreamTech","SVTAL0008","user8@example.com","Jim Doe","9876543217","No","Optional","2023-03-15T12:00:07Z","WO2023031508","20230315000008","INV12352","800.00","REF130","Inactive","Database","Read","500","Internal Server Error","Database audit","Check database integrity","Compliance check","Audit database","User error","2023-03-15T12:30:07Z","Item008","Database Service","Read","500","Internal Server Error","2023-03-15T12:45:07Z",500,"Internal Server Error"
"ORD20230315","VTT009","2023-03-15T00:00:08Z","Service","Web","API Gateway","SVTAL009","1234567898","Sales","DreamTech","SVTAL0009","user9@example.com","Julie Doe","9876543218","Yes","Critical","2023-03-15T12:00:08Z","WO2023031509","20230315000009","INV12353","900.00","REF131","Active","API Server","Create","503","Service Unavailable","API server setup","Setup new API server","Service expansion","Install API server","System issue","2023-03-15T12:30:08Z","Item009","API Service","Create","503","Service Unavailable","2023-03-15T12:45:08Z",503,"Service Unavailable"
"ORD20230315","VTT010","2023-03-15T00:00:09Z","Service","Web","API Gateway","SVTAL010","1234567899","Sales","DreamTech","SVTAL0010","user10@example.com","James Doe","9876543219","No","Optional","2023-03-15T12:00:09Z","WO2023031510","20230315000010","INV12354","1000.00","REF132","Inactive","Cloud Storage","Update","504","Gateway Timeout","Cloud storage upgrade","Upgrade cloud storage capacity","Customer upgrade","Expand storage","User error","2023-03-15T12:30:09Z","Item010","Storage Service","Update","504","Gateway Timeout","2023-03-15T12:45:09Z",504,"Gateway Timeout"
